sample	cell	drug	dose	time	tissue
HL-60_cisplatin_0nM_24h	HL-60	cisplatin	0nM	24h	Leukemia
HOP-62_cisplatin_0nM_24h	HOP-62	cisplatin	0nM	24h	Lung
HOP-92_cisplatin_0nM_24h	HOP-92	cisplatin	0nM	24h	Lung
HS-578T_cisplatin_0nM_24h	HS-578T	cisplatin	0nM	24h	Breast
HT29_cisplatin_0nM_24h	HT29	cisplatin	0nM	24h	Colon
IGR-OV1_cisplatin_0nM_24h	IGR-OV1	cisplatin	0nM	24h	Ovarian
K-562_cisplatin_0nM_24h	K-562	cisplatin	0nM	24h	Leukemia
KM12_cisplatin_0nM_24h	KM12	cisplatin	0nM	24h	Colon
LOX_cisplatin_0nM_24h	LOX	cisplatin	0nM	24h	Melanoma
M14_cisplatin_0nM_24h	M14	cisplatin	0nM	24h	Melanoma
MALME-3M_cisplatin_0nM_24h	MALME-3M	cisplatin	0nM	24h	Melanoma
MCF7_cisplatin_0nM_24h	MCF7	cisplatin	0nM	24h	Breast
MDA-MB-231_cisplatin_0nM_24h	MDA-MB-231	cisplatin	0nM	24h	Breast
MDA-MB-435_cisplatin_0nM_24h	MDA-MB-435	cisplatin	0nM	24h	Melanoma
MDA-MB-468_cisplatin_0nM_24h	MDA-MB-468	cisplatin	0nM	24h	Breast
MOLT-4_cisplatin_0nM_24h	MOLT-4	cisplatin	0nM	24h	Leukemia
NCI-ADR-RES_cisplatin_0nM_24h	NCI-ADR-RES	cisplatin	0nM	24h	Ovarian
NCI-H23_cisplatin_0nM_24h	NCI-H23	cisplatin	0nM	24h	Lung
NCI-H322M_cisplatin_0nM_24h	NCI-H322M	cisplatin	0nM	24h	Lung
NCI-H460_cisplatin_0nM_24h	NCI-H460	cisplatin	0nM	24h	Lung
NCI-H522_cisplatin_0nM_24h	NCI-H522	cisplatin	0nM	24h	Lung
OVCAR-3_cisplatin_0nM_24h	OVCAR-3	cisplatin	0nM	24h	Ovarian
OVCAR-4_cisplatin_0nM_24h	OVCAR-4	cisplatin	0nM	24h	Ovarian
OVCAR-5_cisplatin_0nM_24h	OVCAR-5	cisplatin	0nM	24h	Ovarian
OVCAR-8_cisplatin_0nM_24h	OVCAR-8	cisplatin	0nM	24h	Ovarian
PC-3_cisplatin_0nM_24h	PC-3	cisplatin	0nM	24h	Prostate
RPMI-8226_cisplatin_0nM_24h	RPMI-8226	cisplatin	0nM	24h	Leukemia
RXF-393_cisplatin_0nM_24h	RXF-393	cisplatin	0nM	24h	Renal
SF-295_cisplatin_0nM_24h	SF-295	cisplatin	0nM	24h	CNS
SF-539_cisplatin_0nM_24h	SF-539	cisplatin	0nM	24h	CNS
SK-MEL-2_cisplatin_0nM_24h	SK-MEL-2	cisplatin	0nM	24h	Melanoma
SK-MEL-28_cisplatin_0nM_24h	SK-MEL-28	cisplatin	0nM	24h	Melanoma
SK-MEL-5_cisplatin_0nM_24h	SK-MEL-5	cisplatin	0nM	24h	Melanoma
SK-OV-3_cisplatin_0nM_24h	SK-OV-3	cisplatin	0nM	24h	Ovarian
SN12C_cisplatin_0nM_24h	SN12C	cisplatin	0nM	24h	Renal
SNB-19_cisplatin_0nM_24h	SNB-19	cisplatin	0nM	24h	CNS
SNB-75_cisplatin_0nM_24h	SNB-75	cisplatin	0nM	24h	CNS
SR_cisplatin_0nM_24h	SR	cisplatin	0nM	24h	Leukemia
SW-620_cisplatin_0nM_24h	SW-620	cisplatin	0nM	24h	Colon
T-47D_cisplatin_0nM_24h	T-47D	cisplatin	0nM	24h	Breast
TK-10_cisplatin_0nM_24h	TK-10	cisplatin	0nM	24h	Renal
U251_cisplatin_0nM_24h	U251	cisplatin	0nM	24h	CNS
UACC-257_cisplatin_0nM_24h	UACC-257	cisplatin	0nM	24h	Melanoma
UO-31_cisplatin_0nM_24h	UO-31	cisplatin	0nM	24h	Renal
786-0_dasatinib_0nM_24h	786-0	dasatinib	0nM	24h	Renal
A498_dasatinib_0nM_24h	A498	dasatinib	0nM	24h	Renal
A549_dasatinib_0nM_24h	A549	dasatinib	0nM	24h	Lung
ACHN_dasatinib_0nM_24h	ACHN	dasatinib	0nM	24h	Renal
BT-549_dasatinib_0nM_24h	BT-549	dasatinib	0nM	24h	Breast
CAKI-1_dasatinib_0nM_24h	CAKI-1	dasatinib	0nM	24h	Renal
DU-145_dasatinib_0nM_24h	DU-145	dasatinib	0nM	24h	Prostate
EKVX_dasatinib_0nM_24h	EKVX	dasatinib	0nM	24h	Lung
HCC-2998_dasatinib_0nM_24h	HCC-2998	dasatinib	0nM	24h	Colon
HCT-116_dasatinib_0nM_24h	HCT-116	dasatinib	0nM	24h	Colon
HCT-15_dasatinib_0nM_24h	HCT-15	dasatinib	0nM	24h	Colon
HL-60_dasatinib_0nM_24h	HL-60	dasatinib	0nM	24h	Leukemia
HOP-62_dasatinib_0nM_24h	HOP-62	dasatinib	0nM	24h	Lung
HOP-92_dasatinib_0nM_24h	HOP-92	dasatinib	0nM	24h	Lung
HS-578T_dasatinib_0nM_24h	HS-578T	dasatinib	0nM	24h	Breast
HT29_dasatinib_0nM_24h	HT29	dasatinib	0nM	24h	Colon
IGR-OV1_dasatinib_0nM_24h	IGR-OV1	dasatinib	0nM	24h	Ovarian
KM12_dasatinib_0nM_24h	KM12	dasatinib	0nM	24h	Colon
LOX_dasatinib_0nM_24h	LOX	dasatinib	0nM	24h	Melanoma
M14_dasatinib_0nM_24h	M14	dasatinib	0nM	24h	Melanoma
MALME-3M_dasatinib_0nM_24h	MALME-3M	dasatinib	0nM	24h	Melanoma
MCF7_dasatinib_0nM_24h	MCF7	dasatinib	0nM	24h	Breast
MDA-MB-231_dasatinib_0nM_24h	MDA-MB-231	dasatinib	0nM	24h	Breast
MOLT-4_dasatinib_0nM_24h	MOLT-4	dasatinib	0nM	24h	Leukemia
NCI-ADR-RES_dasatinib_0nM_24h	NCI-ADR-RES	dasatinib	0nM	24h	Ovarian
NCI-H226_dasatinib_0nM_24h	NCI-H226	dasatinib	0nM	24h	Lung
NCI-H23_dasatinib_0nM_24h	NCI-H23	dasatinib	0nM	24h	Lung
NCI-H460_dasatinib_0nM_24h	NCI-H460	dasatinib	0nM	24h	Lung
NCI-H522_dasatinib_0nM_24h	NCI-H522	dasatinib	0nM	24h	Lung
OVCAR-3_dasatinib_0nM_24h	OVCAR-3	dasatinib	0nM	24h	Ovarian
OVCAR-4_dasatinib_0nM_24h	OVCAR-4	dasatinib	0nM	24h	Ovarian
OVCAR-5_dasatinib_0nM_24h	OVCAR-5	dasatinib	0nM	24h	Ovarian
OVCAR-8_dasatinib_0nM_24h	OVCAR-8	dasatinib	0nM	24h	Ovarian
PC-3_dasatinib_0nM_24h	PC-3	dasatinib	0nM	24h	Prostate
RPMI-8226_dasatinib_0nM_24h	RPMI-8226	dasatinib	0nM	24h	Leukemia
RXF-393_dasatinib_0nM_24h	RXF-393	dasatinib	0nM	24h	Renal
SF-268_dasatinib_0nM_24h	SF-268	dasatinib	0nM	24h	CNS
SF-295_dasatinib_0nM_24h	SF-295	dasatinib	0nM	24h	CNS
SK-MEL-2_dasatinib_0nM_24h	SK-MEL-2	dasatinib	0nM	24h	Melanoma
SK-MEL-28_dasatinib_0nM_24h	SK-MEL-28	dasatinib	0nM	24h	Melanoma
SK-MEL-5_dasatinib_0nM_24h	SK-MEL-5	dasatinib	0nM	24h	Melanoma
SK-OV-3_dasatinib_0nM_24h	SK-OV-3	dasatinib	0nM	24h	Ovarian
SR_dasatinib_0nM_24h	SR	dasatinib	0nM	24h	Leukemia
SW-620_dasatinib_0nM_24h	SW-620	dasatinib	0nM	24h	Colon
T-47D_dasatinib_0nM_24h	T-47D	dasatinib	0nM	24h	Breast
U251_dasatinib_0nM_24h	U251	dasatinib	0nM	24h	CNS
UACC-257_dasatinib_0nM_24h	UACC-257	dasatinib	0nM	24h	Melanoma
UACC-62_dasatinib_0nM_24h	UACC-62	dasatinib	0nM	24h	Melanoma
UO-31_dasatinib_0nM_24h	UO-31	dasatinib	0nM	24h	Renal
786-0_doxorubicin_0nM_24h	786-0	doxorubicin	0nM	24h	Renal
A498_doxorubicin_0nM_24h	A498	doxorubicin	0nM	24h	Renal
A549_doxorubicin_0nM_24h	A549	doxorubicin	0nM	24h	Lung
ACHN_doxorubicin_0nM_24h	ACHN	doxorubicin	0nM	24h	Renal
BT-549_doxorubicin_0nM_24h	BT-549	doxorubicin	0nM	24h	Breast
CAKI-1_doxorubicin_0nM_24h	CAKI-1	doxorubicin	0nM	24h	Renal
CCRF-CEM_doxorubicin_0nM_24h	CCRF-CEM	doxorubicin	0nM	24h	Leukemia
COLO-205_doxorubicin_0nM_24h	COLO-205	doxorubicin	0nM	24h	Colon
DU-145_doxorubicin_0nM_24h	DU-145	doxorubicin	0nM	24h	Prostate
EKVX_doxorubicin_0nM_24h	EKVX	doxorubicin	0nM	24h	Lung
HCT-116_doxorubicin_0nM_24h	HCT-116	doxorubicin	0nM	24h	Colon
HCT-15_doxorubicin_0nM_24h	HCT-15	doxorubicin	0nM	24h	Colon
HL-60_doxorubicin_0nM_24h	HL-60	doxorubicin	0nM	24h	Leukemia
HOP-62_doxorubicin_0nM_24h	HOP-62	doxorubicin	0nM	24h	Lung
HOP-92_doxorubicin_0nM_24h	HOP-92	doxorubicin	0nM	24h	Lung
HS-578T_doxorubicin_0nM_24h	HS-578T	doxorubicin	0nM	24h	Breast
HT29_doxorubicin_0nM_24h	HT29	doxorubicin	0nM	24h	Colon
IGR-OV1_doxorubicin_0nM_24h	IGR-OV1	doxorubicin	0nM	24h	Ovarian
K-562_doxorubicin_0nM_24h	K-562	doxorubicin	0nM	24h	Leukemia
KM12_doxorubicin_0nM_24h	KM12	doxorubicin	0nM	24h	Colon
LOX_doxorubicin_0nM_24h	LOX	doxorubicin	0nM	24h	Melanoma
M14_doxorubicin_0nM_24h	M14	doxorubicin	0nM	24h	Melanoma
MDA-MB-231_doxorubicin_0nM_24h	MDA-MB-231	doxorubicin	0nM	24h	Breast
MDA-MB-435_doxorubicin_0nM_24h	MDA-MB-435	doxorubicin	0nM	24h	Melanoma
NCI-ADR-RES_doxorubicin_0nM_24h	NCI-ADR-RES	doxorubicin	0nM	24h	Ovarian
NCI-H226_doxorubicin_0nM_24h	NCI-H226	doxorubicin	0nM	24h	Lung
NCI-H23_doxorubicin_0nM_24h	NCI-H23	doxorubicin	0nM	24h	Lung
NCI-H322M_doxorubicin_0nM_24h	NCI-H322M	doxorubicin	0nM	24h	Lung
NCI-H460_doxorubicin_0nM_24h	NCI-H460	doxorubicin	0nM	24h	Lung
OVCAR-3_doxorubicin_0nM_24h	OVCAR-3	doxorubicin	0nM	24h	Ovarian
OVCAR-4_doxorubicin_0nM_24h	OVCAR-4	doxorubicin	0nM	24h	Ovarian
OVCAR-5_doxorubicin_0nM_24h	OVCAR-5	doxorubicin	0nM	24h	Ovarian
PC-3_doxorubicin_0nM_24h	PC-3	doxorubicin	0nM	24h	Prostate
RXF-393_doxorubicin_0nM_24h	RXF-393	doxorubicin	0nM	24h	Renal
SF-268_doxorubicin_0nM_24h	SF-268	doxorubicin	0nM	24h	CNS
SF-295_doxorubicin_0nM_24h	SF-295	doxorubicin	0nM	24h	CNS
SF-539_doxorubicin_0nM_24h	SF-539	doxorubicin	0nM	24h	CNS
SK-MEL-2_doxorubicin_0nM_24h	SK-MEL-2	doxorubicin	0nM	24h	Melanoma
SK-MEL-5_doxorubicin_0nM_24h	SK-MEL-5	doxorubicin	0nM	24h	Melanoma
SK-OV-3_doxorubicin_0nM_24h	SK-OV-3	doxorubicin	0nM	24h	Ovarian
SN12C_doxorubicin_0nM_24h	SN12C	doxorubicin	0nM	24h	Renal
SNB-19_doxorubicin_0nM_24h	SNB-19	doxorubicin	0nM	24h	CNS
SNB-75_doxorubicin_0nM_24h	SNB-75	doxorubicin	0nM	24h	CNS
SW-620_doxorubicin_0nM_24h	SW-620	doxorubicin	0nM	24h	Colon
T-47D_doxorubicin_0nM_24h	T-47D	doxorubicin	0nM	24h	Breast
TK-10_doxorubicin_0nM_24h	TK-10	doxorubicin	0nM	24h	Renal
U251_doxorubicin_0nM_24h	U251	doxorubicin	0nM	24h	CNS
UACC-257_doxorubicin_0nM_24h	UACC-257	doxorubicin	0nM	24h	Melanoma
UACC-62_doxorubicin_0nM_24h	UACC-62	doxorubicin	0nM	24h	Melanoma
UO-31_doxorubicin_0nM_24h	UO-31	doxorubicin	0nM	24h	Renal
786-0_erlotinib_0nM_24h	786-0	erlotinib	0nM	24h	Renal
A498_erlotinib_0nM_24h	A498	erlotinib	0nM	24h	Renal
A549_erlotinib_0nM_24h	A549	erlotinib	0nM	24h	Lung
ACHN_erlotinib_0nM_24h	ACHN	erlotinib	0nM	24h	Renal
BT-549_erlotinib_0nM_24h	BT-549	erlotinib	0nM	24h	Breast
CAKI-1_erlotinib_0nM_24h	CAKI-1	erlotinib	0nM	24h	Renal
CCRF-CEM_erlotinib_0nM_24h	CCRF-CEM	erlotinib	0nM	24h	Leukemia
DU-145_erlotinib_0nM_24h	DU-145	erlotinib	0nM	24h	Prostate
EKVX_erlotinib_0nM_24h	EKVX	erlotinib	0nM	24h	Lung
HCC-2998_erlotinib_0nM_24h	HCC-2998	erlotinib	0nM	24h	Colon
HCT-116_erlotinib_0nM_24h	HCT-116	erlotinib	0nM	24h	Colon
HCT-15_erlotinib_0nM_24h	HCT-15	erlotinib	0nM	24h	Colon
HL-60_erlotinib_0nM_24h	HL-60	erlotinib	0nM	24h	Leukemia
HOP-62_erlotinib_0nM_24h	HOP-62	erlotinib	0nM	24h	Lung
HOP-92_erlotinib_0nM_24h	HOP-92	erlotinib	0nM	24h	Lung
HS-578T_erlotinib_0nM_24h	HS-578T	erlotinib	0nM	24h	Breast
HT29_erlotinib_0nM_24h	HT29	erlotinib	0nM	24h	Colon
IGR-OV1_erlotinib_0nM_24h	IGR-OV1	erlotinib	0nM	24h	Ovarian
K-562_erlotinib_0nM_24h	K-562	erlotinib	0nM	24h	Leukemia
KM12_erlotinib_0nM_24h	KM12	erlotinib	0nM	24h	Colon
LOX_erlotinib_0nM_24h	LOX	erlotinib	0nM	24h	Melanoma
M14_erlotinib_0nM_24h	M14	erlotinib	0nM	24h	Melanoma
MALME-3M_erlotinib_0nM_24h	MALME-3M	erlotinib	0nM	24h	Melanoma
MCF7_erlotinib_0nM_24h	MCF7	erlotinib	0nM	24h	Breast
MDA-MB-231_erlotinib_0nM_24h	MDA-MB-231	erlotinib	0nM	24h	Breast
MDA-MB-435_erlotinib_0nM_24h	MDA-MB-435	erlotinib	0nM	24h	Melanoma
MDA-MB-468_erlotinib_0nM_24h	MDA-MB-468	erlotinib	0nM	24h	Breast
MOLT-4_erlotinib_0nM_24h	MOLT-4	erlotinib	0nM	24h	Leukemia
NCI-ADR-RES_erlotinib_0nM_24h	NCI-ADR-RES	erlotinib	0nM	24h	Ovarian
NCI-H226_erlotinib_0nM_24h	NCI-H226	erlotinib	0nM	24h	Lung
NCI-H23_erlotinib_0nM_24h	NCI-H23	erlotinib	0nM	24h	Lung
NCI-H322M_erlotinib_0nM_24h	NCI-H322M	erlotinib	0nM	24h	Lung
NCI-H460_erlotinib_0nM_24h	NCI-H460	erlotinib	0nM	24h	Lung
NCI-H522_erlotinib_0nM_24h	NCI-H522	erlotinib	0nM	24h	Lung
OVCAR-3_erlotinib_0nM_24h	OVCAR-3	erlotinib	0nM	24h	Ovarian
OVCAR-4_erlotinib_0nM_24h	OVCAR-4	erlotinib	0nM	24h	Ovarian
OVCAR-5_erlotinib_0nM_24h	OVCAR-5	erlotinib	0nM	24h	Ovarian
OVCAR-8_erlotinib_0nM_24h	OVCAR-8	erlotinib	0nM	24h	Ovarian
PC-3_erlotinib_0nM_24h	PC-3	erlotinib	0nM	24h	Prostate
RPMI-8226_erlotinib_0nM_24h	RPMI-8226	erlotinib	0nM	24h	Leukemia
RXF-393_erlotinib_0nM_24h	RXF-393	erlotinib	0nM	24h	Renal
SF-268_erlotinib_0nM_24h	SF-268	erlotinib	0nM	24h	CNS
SF-295_erlotinib_0nM_24h	SF-295	erlotinib	0nM	24h	CNS
SF-539_erlotinib_0nM_24h	SF-539	erlotinib	0nM	24h	CNS
SK-MEL-2_erlotinib_0nM_24h	SK-MEL-2	erlotinib	0nM	24h	Melanoma
SK-MEL-28_erlotinib_0nM_24h	SK-MEL-28	erlotinib	0nM	24h	Melanoma
SK-MEL-5_erlotinib_0nM_24h	SK-MEL-5	erlotinib	0nM	24h	Melanoma
SK-OV-3_erlotinib_0nM_24h	SK-OV-3	erlotinib	0nM	24h	Ovarian
SN12C_erlotinib_0nM_24h	SN12C	erlotinib	0nM	24h	Renal
SNB-19_erlotinib_0nM_24h	SNB-19	erlotinib	0nM	24h	CNS
SNB-75_erlotinib_0nM_24h	SNB-75	erlotinib	0nM	24h	CNS
SR_erlotinib_0nM_24h	SR	erlotinib	0nM	24h	Leukemia
SW-620_erlotinib_0nM_24h	SW-620	erlotinib	0nM	24h	Colon
T-47D_erlotinib_0nM_24h	T-47D	erlotinib	0nM	24h	Breast
TK-10_erlotinib_0nM_24h	TK-10	erlotinib	0nM	24h	Renal
U251_erlotinib_0nM_24h	U251	erlotinib	0nM	24h	CNS
UACC-257_erlotinib_0nM_24h	UACC-257	erlotinib	0nM	24h	Melanoma
UACC-62_erlotinib_0nM_24h	UACC-62	erlotinib	0nM	24h	Melanoma
UO-31_erlotinib_0nM_24h	UO-31	erlotinib	0nM	24h	Renal
786-0_geldanamycin_0nM_24h	786-0	geldanamycin	0nM	24h	Renal
A549_geldanamycin_0nM_24h	A549	geldanamycin	0nM	24h	Lung
ACHN_geldanamycin_0nM_24h	ACHN	geldanamycin	0nM	24h	Renal
BT-549_geldanamycin_0nM_24h	BT-549	geldanamycin	0nM	24h	Breast
CAKI-1_geldanamycin_0nM_24h	CAKI-1	geldanamycin	0nM	24h	Renal
COLO-205_geldanamycin_0nM_24h	COLO-205	geldanamycin	0nM	24h	Colon
DU-145_geldanamycin_0nM_24h	DU-145	geldanamycin	0nM	24h	Prostate
EKVX_geldanamycin_0nM_24h	EKVX	geldanamycin	0nM	24h	Lung
HCC-2998_geldanamycin_0nM_24h	HCC-2998	geldanamycin	0nM	24h	Colon
HCT-116_geldanamycin_0nM_24h	HCT-116	geldanamycin	0nM	24h	Colon
HCT-15_geldanamycin_0nM_24h	HCT-15	geldanamycin	0nM	24h	Colon
HL-60_geldanamycin_0nM_24h	HL-60	geldanamycin	0nM	24h	Leukemia
HOP-62_geldanamycin_0nM_24h	HOP-62	geldanamycin	0nM	24h	Lung
HOP-92_geldanamycin_0nM_24h	HOP-92	geldanamycin	0nM	24h	Lung
HS-578T_geldanamycin_0nM_24h	HS-578T	geldanamycin	0nM	24h	Breast
HT29_geldanamycin_0nM_24h	HT29	geldanamycin	0nM	24h	Colon
IGR-OV1_geldanamycin_0nM_24h	IGR-OV1	geldanamycin	0nM	24h	Ovarian
K-562_geldanamycin_0nM_24h	K-562	geldanamycin	0nM	24h	Leukemia
KM12_geldanamycin_0nM_24h	KM12	geldanamycin	0nM	24h	Colon
LOX_geldanamycin_0nM_24h	LOX	geldanamycin	0nM	24h	Melanoma
M14_geldanamycin_0nM_24h	M14	geldanamycin	0nM	24h	Melanoma
MALME-3M_geldanamycin_0nM_24h	MALME-3M	geldanamycin	0nM	24h	Melanoma
MCF7_geldanamycin_0nM_24h	MCF7	geldanamycin	0nM	24h	Breast
MDA-MB-231_geldanamycin_0nM_24h	MDA-MB-231	geldanamycin	0nM	24h	Breast
MDA-MB-435_geldanamycin_0nM_24h	MDA-MB-435	geldanamycin	0nM	24h	Melanoma
MDA-MB-468_geldanamycin_0nM_24h	MDA-MB-468	geldanamycin	0nM	24h	Breast
NCI-ADR-RES_geldanamycin_0nM_24h	NCI-ADR-RES	geldanamycin	0nM	24h	Ovarian
NCI-H226_geldanamycin_0nM_24h	NCI-H226	geldanamycin	0nM	24h	Lung
NCI-H23_geldanamycin_0nM_24h	NCI-H23	geldanamycin	0nM	24h	Lung
NCI-H322M_geldanamycin_0nM_24h	NCI-H322M	geldanamycin	0nM	24h	Lung
NCI-H460_geldanamycin_0nM_24h	NCI-H460	geldanamycin	0nM	24h	Lung
NCI-H522_geldanamycin_0nM_24h	NCI-H522	geldanamycin	0nM	24h	Lung
OVCAR-3_geldanamycin_0nM_24h	OVCAR-3	geldanamycin	0nM	24h	Ovarian
OVCAR-4_geldanamycin_0nM_24h	OVCAR-4	geldanamycin	0nM	24h	Ovarian
OVCAR-5_geldanamycin_0nM_24h	OVCAR-5	geldanamycin	0nM	24h	Ovarian
OVCAR-8_geldanamycin_0nM_24h	OVCAR-8	geldanamycin	0nM	24h	Ovarian
PC-3_geldanamycin_0nM_24h	PC-3	geldanamycin	0nM	24h	Prostate
RPMI-8226_geldanamycin_0nM_24h	RPMI-8226	geldanamycin	0nM	24h	Leukemia
RXF-393_geldanamycin_0nM_24h	RXF-393	geldanamycin	0nM	24h	Renal
SF-268_geldanamycin_0nM_24h	SF-268	geldanamycin	0nM	24h	CNS
SF-295_geldanamycin_0nM_24h	SF-295	geldanamycin	0nM	24h	CNS
SF-539_geldanamycin_0nM_24h	SF-539	geldanamycin	0nM	24h	CNS
SK-MEL-2_geldanamycin_0nM_24h	SK-MEL-2	geldanamycin	0nM	24h	Melanoma
SK-MEL-28_geldanamycin_0nM_24h	SK-MEL-28	geldanamycin	0nM	24h	Melanoma
SK-MEL-5_geldanamycin_0nM_24h	SK-MEL-5	geldanamycin	0nM	24h	Melanoma
SK-OV-3_geldanamycin_0nM_24h	SK-OV-3	geldanamycin	0nM	24h	Ovarian
SN12C_geldanamycin_0nM_24h	SN12C	geldanamycin	0nM	24h	Renal
SNB-19_geldanamycin_0nM_24h	SNB-19	geldanamycin	0nM	24h	CNS
SNB-75_geldanamycin_0nM_24h	SNB-75	geldanamycin	0nM	24h	CNS
SR_geldanamycin_0nM_24h	SR	geldanamycin	0nM	24h	Leukemia
SW-620_geldanamycin_0nM_24h	SW-620	geldanamycin	0nM	24h	Colon
T-47D_geldanamycin_0nM_24h	T-47D	geldanamycin	0nM	24h	Breast
TK-10_geldanamycin_0nM_24h	TK-10	geldanamycin	0nM	24h	Renal
U251_geldanamycin_0nM_24h	U251	geldanamycin	0nM	24h	CNS
UACC-257_geldanamycin_0nM_24h	UACC-257	geldanamycin	0nM	24h	Melanoma
UACC-62_geldanamycin_0nM_24h	UACC-62	geldanamycin	0nM	24h	Melanoma
UO-31_geldanamycin_0nM_24h	UO-31	geldanamycin	0nM	24h	Renal
786-0_gemcitibine_0nM_24h	786-0	gemcitibine	0nM	24h	Renal
A498_gemcitibine_0nM_24h	A498	gemcitibine	0nM	24h	Renal
A549_gemcitibine_0nM_24h	A549	gemcitibine	0nM	24h	Lung
BT-549_gemcitibine_0nM_24h	BT-549	gemcitibine	0nM	24h	Breast
CAKI-1_gemcitibine_0nM_24h	CAKI-1	gemcitibine	0nM	24h	Renal
CCRF-CEM_gemcitibine_0nM_24h	CCRF-CEM	gemcitibine	0nM	24h	Leukemia
COLO-205_gemcitibine_0nM_24h	COLO-205	gemcitibine	0nM	24h	Colon
DU-145_gemcitibine_0nM_24h	DU-145	gemcitibine	0nM	24h	Prostate
EKVX_gemcitibine_0nM_24h	EKVX	gemcitibine	0nM	24h	Lung
HCC-2998_gemcitibine_0nM_24h	HCC-2998	gemcitibine	0nM	24h	Colon
HCT-116_gemcitibine_0nM_24h	HCT-116	gemcitibine	0nM	24h	Colon
HCT-15_gemcitibine_0nM_24h	HCT-15	gemcitibine	0nM	24h	Colon
HL-60_gemcitibine_0nM_24h	HL-60	gemcitibine	0nM	24h	Leukemia
HOP-62_gemcitibine_0nM_24h	HOP-62	gemcitibine	0nM	24h	Lung
HOP-92_gemcitibine_0nM_24h	HOP-92	gemcitibine	0nM	24h	Lung
HS-578T_gemcitibine_0nM_24h	HS-578T	gemcitibine	0nM	24h	Breast
IGR-OV1_gemcitibine_0nM_24h	IGR-OV1	gemcitibine	0nM	24h	Ovarian
K-562_gemcitibine_0nM_24h	K-562	gemcitibine	0nM	24h	Leukemia
KM12_gemcitibine_0nM_24h	KM12	gemcitibine	0nM	24h	Colon
LOX_gemcitibine_0nM_24h	LOX	gemcitibine	0nM	24h	Melanoma
M14_gemcitibine_0nM_24h	M14	gemcitibine	0nM	24h	Melanoma
MALME-3M_gemcitibine_0nM_24h	MALME-3M	gemcitibine	0nM	24h	Melanoma
MCF7_gemcitibine_0nM_24h	MCF7	gemcitibine	0nM	24h	Breast
MDA-MB-231_gemcitibine_0nM_24h	MDA-MB-231	gemcitibine	0nM	24h	Breast
MDA-MB-435_gemcitibine_0nM_24h	MDA-MB-435	gemcitibine	0nM	24h	Melanoma
MDA-MB-468_gemcitibine_0nM_24h	MDA-MB-468	gemcitibine	0nM	24h	Breast
MOLT-4_gemcitibine_0nM_24h	MOLT-4	gemcitibine	0nM	24h	Leukemia
NCI-ADR-RES_gemcitibine_0nM_24h	NCI-ADR-RES	gemcitibine	0nM	24h	Ovarian
NCI-H226_gemcitibine_0nM_24h	NCI-H226	gemcitibine	0nM	24h	Lung
NCI-H23_gemcitibine_0nM_24h	NCI-H23	gemcitibine	0nM	24h	Lung
NCI-H322M_gemcitibine_0nM_24h	NCI-H322M	gemcitibine	0nM	24h	Lung
NCI-H460_gemcitibine_0nM_24h	NCI-H460	gemcitibine	0nM	24h	Lung
NCI-H522_gemcitibine_0nM_24h	NCI-H522	gemcitibine	0nM	24h	Lung
OVCAR-3_gemcitibine_0nM_24h	OVCAR-3	gemcitibine	0nM	24h	Ovarian
OVCAR-4_gemcitibine_0nM_24h	OVCAR-4	gemcitibine	0nM	24h	Ovarian
OVCAR-8_gemcitibine_0nM_24h	OVCAR-8	gemcitibine	0nM	24h	Ovarian
PC-3_gemcitibine_0nM_24h	PC-3	gemcitibine	0nM	24h	Prostate
RPMI-8226_gemcitibine_0nM_24h	RPMI-8226	gemcitibine	0nM	24h	Leukemia
RXF-393_gemcitibine_0nM_24h	RXF-393	gemcitibine	0nM	24h	Renal
SF-268_gemcitibine_0nM_24h	SF-268	gemcitibine	0nM	24h	CNS
SF-295_gemcitibine_0nM_24h	SF-295	gemcitibine	0nM	24h	CNS
SK-MEL-2_gemcitibine_0nM_24h	SK-MEL-2	gemcitibine	0nM	24h	Melanoma
SK-MEL-28_gemcitibine_0nM_24h	SK-MEL-28	gemcitibine	0nM	24h	Melanoma
SK-MEL-5_gemcitibine_0nM_24h	SK-MEL-5	gemcitibine	0nM	24h	Melanoma
SK-OV-3_gemcitibine_0nM_24h	SK-OV-3	gemcitibine	0nM	24h	Ovarian
SN12C_gemcitibine_0nM_24h	SN12C	gemcitibine	0nM	24h	Renal
SNB-19_gemcitibine_0nM_24h	SNB-19	gemcitibine	0nM	24h	CNS
SNB-75_gemcitibine_0nM_24h	SNB-75	gemcitibine	0nM	24h	CNS
SR_gemcitibine_0nM_24h	SR	gemcitibine	0nM	24h	Leukemia
SW-620_gemcitibine_0nM_24h	SW-620	gemcitibine	0nM	24h	Colon
T-47D_gemcitibine_0nM_24h	T-47D	gemcitibine	0nM	24h	Breast
TK-10_gemcitibine_0nM_24h	TK-10	gemcitibine	0nM	24h	Renal
U251_gemcitibine_0nM_24h	U251	gemcitibine	0nM	24h	CNS
UACC-257_gemcitibine_0nM_24h	UACC-257	gemcitibine	0nM	24h	Melanoma
UACC-62_gemcitibine_0nM_24h	UACC-62	gemcitibine	0nM	24h	Melanoma
UO-31_gemcitibine_0nM_24h	UO-31	gemcitibine	0nM	24h	Renal
786-0_lapatinib_0nM_24h	786-0	lapatinib	0nM	24h	Renal
A498_lapatinib_0nM_24h	A498	lapatinib	0nM	24h	Renal
